t,position,setpoint,error,psi,torque,Ec
0.0,0.0,1.0,1.0,0.0004,0.0601,150.1495
0.01,9e-06,1.0,0.999992,0.004392,0.6657,151.5711
0.02,2.2e-05,1.0,0.99998,0.008371,1.2795,152.8566
0.03,3.4e-05,1.0,0.999967,0.012335,1.8998,154.0195
0.04,4.7e-05,1.0,0.999954,0.016285,2.5254,155.0715
0.05,6e-05,1.0,0.999942,0.020222,3.1551,156.0232
0.06,7.2e-05,1.0,0.999929,0.024145,3.7879,156.884
0.07,8.5e-05,1.0,0.999916,0.028054,4.423,157.6627
0.08,9.8e-05,1.0,0.999903,0.031949,5.0597,158.367
0.09,0.000111,1.0,0.99989,0.035831,5.6972,159.0041
0.1,0.000124,1.0,0.999877,0.039699,6.3351,159.5804
0.11,0.000137,1.0,0.999864,0.043553,6.9729,160.1015
0.12,0.00015,1.0,0.999852,0.047394,7.6102,160.5729
0.13,0.000163,1.0,0.999839,0.051222,8.2466,160.9991
0.14,0.000176,1.0,0.999826,0.055036,8.8819,161.3846
0.15,0.000188,1.0,0.999813,0.058836,9.5158,161.7332
0.16,0.000201,1.0,0.9998,0.062624,10.1481,162.0484
0.17,0.000214,1.0,0.999787,0.066398,10.7786,162.3333
0.18,0.000227,1.0,0.999775,0.070158,11.4071,162.591
0.19,0.000239,1.0,0.999762,0.073906,12.0337,162.8239
0.2,0.000252,1.0,0.999749,0.077641,12.6581,163.0344
0.21,0.000265,1.0,0.999737,0.081362,13.2803,163.2247
0.22,0.000277,1.0,0.999724,0.08507,13.9002,163.3966
0.23,0.00029,1.0,0.999711,0.088766,14.5178,163.552
0.24,0.000302,1.0,0.999699,0.092448,15.133,163.6924
0.25,0.000315,1.0,0.999686,0.096117,15.7459,163.8192
0.26,0.000327,1.0,0.999674,0.099774,16.3563,163.9338
0.27,0.00034,1.0,0.999662,0.103418,16.9643,164.0372
0.28,0.000352,1.0,0.999649,0.107048,17.5699,164.1306
0.29,0.000364,1.0,0.999637,0.110667,18.1731,164.2149
0.3,0.000376,1.0,0.999625,0.114272,18.7739,164.291
0.31,0.000388,1.0,0.999613,0.117865,19.3723,164.3596
0.32,0.0004,1.0,0.999601,0.121445,19.9682,164.4215
0.33,0.000413,1.0,0.999589,0.125013,20.5618,164.4774
0.34,0.000425,1.0,0.999577,0.128568,21.153,164.5277
0.35000000000000003,0.000436,1.0,0.999565,0.132111,21.7419,164.573
0.36,0.000448,1.0,0.999553,0.135641,22.3284,164.6138
0.37,0.00046,1.0,0.999541,0.139159,22.9126,164.6505
0.38,0.000472,1.0,0.999529,0.142665,23.4945,164.6835
0.39,0.000484,1.0,0.999517,0.146158,24.0741,164.7132
0.4,0.000496,1.0,0.999506,0.149639,24.6515,164.7399
0.41000000000000003,0.000507,1.0,0.999494,0.153108,25.2266,164.7639
0.42,0.000519,1.0,0.999482,0.156564,25.7995,164.7853
0.43,0.00053,1.0,0.999471,0.160009,26.3702,164.8046
0.44,0.000542,1.0,0.999459,0.163441,26.9387,164.8218
0.45,0.000553,1.0,0.999448,0.166862,27.505,164.8372
0.46,0.000565,1.0,0.999436,0.17027,28.0692,164.8509
0.47000000000000003,0.000576,1.0,0.999425,0.173666,28.6312,164.8631
0.48,0.000588,1.0,0.999414,0.177051,29.1911,164.874
0.49,0.000599,1.0,0.999402,0.180424,29.7489,164.8837
0.5,0.00061,1.0,0.999391,0.183784,30.3044,164.8912
0.51,0.000621,1.0,0.99938,0.187133,30.8563,164.8892
0.52,0.000633,1.0,0.999369,0.190471,31.4062,164.8872
0.53,0.000644,1.0,0.999357,0.193796,31.9541,164.8852
0.54,0.000655,1.0,0.999346,0.19711,32.5001,164.8832
0.55,0.000666,1.0,0.999335,0.200412,33.0442,164.8812
0.56,0.000677,1.0,0.999324,0.203703,33.5864,164.8792
0.5700000000000001,0.000688,1.0,0.999313,0.206982,34.1266,164.8772
0.58,0.000699,1.0,0.999302,0.21025,34.665,164.8752
0.59,0.00071,1.0,0.999292,0.213506,35.2014,164.8733
0.6,0.00072,1.0,0.999281,0.216751,35.736,164.8713
0.61,0.000731,1.0,0.99927,0.219984,36.2686,164.8693
0.62,0.000742,1.0,0.999259,0.223206,36.7994,164.8674
0.63,0.000753,1.0,0.999248,0.226417,37.3283,164.8655
0.64,0.000763,1.0,0.999238,0.229616,37.8554,164.8635
0.65,0.000774,1.0,0.999227,0.232805,38.3805,164.8616
0.66,0.000785,1.0,0.999216,0.235982,38.9039,164.8597
0.67,0.000795,1.0,0.999206,0.239148,39.4253,164.8578
0.68,0.000806,1.0,0.999195,0.242302,39.945,164.8559
0.6900000000000001,0.000816,1.0,0.999185,0.245446,40.4628,164.854
0.7000000000000001,0.000827,1.0,0.999174,0.248579,40.9787,164.8521
0.71,0.000837,1.0,0.999164,0.251701,41.4929,164.8502
0.72,0.000848,1.0,0.999153,0.254811,42.0052,164.8483
0.73,0.000858,1.0,0.999143,0.257911,42.5158,164.8465
0.74,0.000868,1.0,0.999133,0.261,43.0245,164.8446
0.75,0.000879,1.0,0.999122,0.264078,43.5314,164.8427
0.76,0.000889,1.0,0.999112,0.267146,44.0365,164.8409
0.77,0.000899,1.0,0.999102,0.270202,44.5399,164.839
0.78,0.000909,1.0,0.999092,0.273248,45.0415,164.8372
0.79,0.000919,1.0,0.999082,0.276283,45.5413,164.8354
0.8,0.000929,1.0,0.999072,0.279308,46.0393,164.8335
0.81,0.00094,1.0,0.999061,0.282322,46.5356,164.8317
0.8200000000000001,0.00095,1.0,0.999051,0.285325,47.0301,164.8299
0.8300000000000001,0.00096,1.0,0.999041,0.288318,47.5229,164.8281
0.84,0.00097,1.0,0.999031,0.2913,48.014,164.8263
0.85,0.000979,1.0,0.999022,0.294272,48.5033,164.8245
0.86,0.000989,1.0,0.999012,0.297234,48.9909,164.8227
0.87,0.000999,1.0,0.999002,0.300185,49.4767,164.821
0.88,0.001009,1.0,0.998992,0.303125,49.9609,164.8192
0.89,0.001013,1.0,0.998987,0.306056,50.0,164.8182
0.9,0.001013,1.0,0.998987,0.308976,50.0,164.818
0.91,0.001013,1.0,0.998987,0.311886,50.0,164.8179
0.92,0.001013,1.0,0.998987,0.314786,50.0,164.8178
0.93,0.001013,1.0,0.998987,0.317675,50.0,164.8177
0.9400000000000001,0.001013,1.0,0.998987,0.320555,50.0,164.8176
0.9500000000000001,0.001013,1.0,0.998987,0.323424,50.0,164.8175
0.96,0.001013,1.0,0.998987,0.326284,50.0,164.8175
0.97,0.001013,1.0,0.998987,0.329133,50.0,164.8174
0.98,0.001013,1.0,0.998987,0.331973,50.0,164.8173
0.99,0.001013,1.0,0.998987,0.334802,50.0,164.8173
1.0,0.001013,-1.0,-1.001013,0.336822,50.0,165.1519
1.01,0.001013,-1.0,-1.001013,0.331647,50.0,165.1547
1.02,0.001013,-1.0,-1.001013,0.326491,50.0,165.1573
1.03,0.001013,-1.0,-1.001013,0.321352,50.0,165.1596
1.04,0.001013,-1.0,-1.001013,0.316231,50.0,165.1617
1.05,0.001013,-1.0,-1.001013,0.311128,50.0,165.1636
1.06,0.001013,-1.0,-1.001013,0.306043,50.0,165.1653
1.07,0.001012,-1.0,-1.001012,0.300976,49.7113,165.1667
1.08,0.000996,-1.0,-1.000998,0.295927,48.877,165.1658
1.09,0.000979,-1.0,-1.000981,0.290895,48.0455,165.1642
1.1,0.000963,-1.0,-1.000964,0.285881,47.2168,165.1626
1.11,0.000946,-1.0,-1.000948,0.280884,46.3911,165.1608
1.12,0.000929,-1.0,-1.000931,0.275905,45.5682,165.1589
1.1300000000000001,0.000913,-1.0,-1.000914,0.270944,44.7482,165.1569
1.1400000000000001,0.000896,-1.0,-1.000898,0.266,43.9311,165.1548
1.1500000000000001,0.000879,-1.0,-1.000881,0.261073,43.1169,165.1526
1.16,0.000863,-1.0,-1.000865,0.256163,42.3055,165.1504
1.17,0.000847,-1.0,-1.000848,0.251271,41.497,165.1481
1.18,0.00083,-1.0,-1.000832,0.246396,40.6913,165.1458
1.19,0.000814,-1.0,-1.000816,0.241538,39.8884,165.1434
1.2,0.000798,-1.0,-1.000799,0.236697,39.0884,165.141
1.21,0.000782,-1.0,-1.000783,0.231873,38.2912,165.1385
1.22,0.000765,-1.0,-1.000767,0.227066,37.4968,165.136
1.23,0.000749,-1.0,-1.000751,0.222276,36.7052,165.1335
1.24,0.000733,-1.0,-1.000735,0.217502,35.9163,165.1309
1.25,0.000717,-1.0,-1.000719,0.212746,35.1303,165.1283
1.26,0.000702,-1.0,-1.000703,0.208006,34.3471,165.1257
1.27,0.000686,-1.0,-1.000687,0.203282,33.5666,165.1231
1.28,0.00067,-1.0,-1.000671,0.198576,32.7889,165.1205
1.29,0.000654,-1.0,-1.000656,0.193885,32.0139,165.1179
1.3,0.000638,-1.0,-1.00064,0.189211,31.2417,165.1152
1.31,0.000623,-1.0,-1.000624,0.184554,30.4722,165.1126
1.32,0.000607,-1.0,-1.000609,0.179913,29.7054,165.1099
1.33,0.000592,-1.0,-1.000593,0.175288,28.9413,165.1072
1.34,0.000576,-1.0,-1.000578,0.17068,28.18,165.1046
1.35,0.000561,-1.0,-1.000563,0.166087,27.4213,165.1019
1.36,0.000546,-1.0,-1.000547,0.161511,26.6653,165.0992
1.37,0.00053,-1.0,-1.000532,0.156951,25.912,165.0966
1.3800000000000001,0.000515,-1.0,-1.000517,0.152406,25.1613,165.0939
1.3900000000000001,0.0005,-1.0,-1.000501,0.147878,24.4133,165.0912
1.4000000000000001,0.000485,-1.0,-1.000486,0.143366,23.668,165.0886
1.41,0.00047,-1.0,-1.000471,0.138869,22.9253,165.0859
1.42,0.000455,-1.0,-1.000456,0.134388,22.1852,165.0832
1.43,0.00044,-1.0,-1.000441,0.129923,21.4478,165.0806
1.44,0.000425,-1.0,-1.000426,0.125474,20.7129,165.0779
1.45,0.00041,-1.0,-1.000412,0.12104,19.9807,165.0753
1.46,0.000395,-1.0,-1.000397,0.116621,19.251,165.0727
1.47,0.00038,-1.0,-1.000382,0.112219,18.5239,165.07
1.48,0.000366,-1.0,-1.000367,0.107831,17.7994,165.0674
1.49,0.000351,-1.0,-1.000353,0.103459,17.0775,165.0648
1.5,0.000337,-1.0,-1.000338,0.099103,16.3581,165.0622
1.51,0.000322,-1.0,-1.000323,0.094761,15.6413,165.0595
1.52,0.000307,-1.0,-1.000309,0.090435,14.927,165.0569
1.53,0.000293,-1.0,-1.000294,0.086124,14.2152,165.0543
1.54,0.000279,-1.0,-1.00028,0.081828,13.5059,165.0517
1.55,0.000264,-1.0,-1.000266,0.077548,12.7992,165.0491
1.56,0.00025,-1.0,-1.000251,0.073282,12.0949,165.0465
1.57,0.000236,-1.0,-1.000237,0.069031,11.3932,165.044
1.58,0.000222,-1.0,-1.000223,0.064795,10.6939,165.0414
1.59,0.000207,-1.0,-1.000209,0.060574,9.9971,165.0389
1.6,0.000193,-1.0,-1.000195,0.056368,9.3028,165.0363
1.61,0.000179,-1.0,-1.000181,0.052177,8.6109,165.0338
1.62,0.000165,-1.0,-1.000167,0.048,7.9215,165.0313
1.6300000000000001,0.000151,-1.0,-1.000153,0.043838,7.2345,165.0287
1.6400000000000001,0.000138,-1.0,-1.000139,0.039691,6.55,165.0262
1.6500000000000001,0.000124,-1.0,-1.000125,0.035558,5.8678,165.0237
1.6600000000000001,0.00011,-1.0,-1.000111,0.031439,5.1881,165.0212
1.67,9.6e-05,-1.0,-1.000098,0.027335,4.5108,165.0188
1.68,8.2e-05,-1.0,-1.000084,0.023246,3.8359,165.0163
1.69,6.9e-05,-1.0,-1.00007,0.01917,3.1634,165.0138
1.7,5.5e-05,-1.0,-1.000057,0.015109,2.4932,165.0114
1.71,4.2e-05,-1.0,-1.000043,0.011063,1.8254,165.0089
1.72,2.8e-05,-1.0,-1.00003,0.00703,1.16,165.0065
1.73,1.5e-05,-1.0,-1.000016,0.003012,0.497,165.004
1.74,1e-06,-1.0,-1.000003,-0.000992,-0.1638,165.0016
1.75,-1.2e-05,-1.0,-0.999989,-0.004983,-0.8221,164.9992
1.76,-2.5e-05,-1.0,-0.999976,-0.008959,-1.4782,164.9968
1.77,-3.9e-05,-1.0,-0.999963,-0.012921,-2.1319,164.9944
1.78,-5.2e-05,-1.0,-0.999949,-0.01687,-2.7833,164.992
1.79,-6.5e-05,-1.0,-0.999936,-0.020804,-3.4325,164.9896
1.8,-7.8e-05,-1.0,-0.999923,-0.024725,-4.0793,164.9873
1.81,-9.1e-05,-1.0,-0.99991,-0.028632,-4.7238,164.9849
1.82,-0.000104,-1.0,-0.999897,-0.032525,-5.3661,164.9826
1.83,-0.000117,-1.0,-0.999884,-0.036405,-6.006,164.9802
1.84,-0.00013,-1.0,-0.999871,-0.040271,-6.6438,164.9779
1.85,-0.000143,-1.0,-0.999858,-0.044123,-7.2792,164.9756
1.86,-0.000156,-1.0,-0.999845,-0.047962,-7.9124,164.9732
1.87,-0.000169,-1.0,-0.999833,-0.051787,-8.5434,164.9709
1.8800000000000001,-0.000181,-1.0,-0.99982,-0.055599,-9.1722,164.9686
1.8900000000000001,-0.000194,-1.0,-0.999807,-0.059398,-9.7987,164.9663
1.9000000000000001,-0.000207,-1.0,-0.999794,-0.063183,-10.423,164.964
1.9100000000000001,-0.000219,-1.0,-0.999782,-0.066956,-11.0451,164.9618
1.92,-0.000232,-1.0,-0.999769,-0.070714,-11.665,164.9595
1.93,-0.000245,-1.0,-0.999757,-0.07446,-12.2827,164.9572
1.94,-0.000257,-1.0,-0.999744,-0.078193,-12.8982,164.955
1.95,-0.00027,-1.0,-0.999732,-0.081912,-13.5116,164.9527
1.96,-0.000282,-1.0,-0.999719,-0.085618,-14.1228,164.9505
1.97,-0.000294,-1.0,-0.999707,-0.089312,-14.7318,164.9482
1.98,-0.000307,-1.0,-0.999695,-0.092992,-15.3387,164.946
1.99,-0.000319,-1.0,-0.999682,-0.09666,-15.9434,164.9438
2.0,-0.000331,1.0,1.00033,-0.099514,-16.4249,165.0505
2.0100000000000002,-0.000324,1.0,1.000325,-0.095171,-15.7081,165.0505
2.02,-0.000309,1.0,1.00031,-0.090844,-14.9937,165.0487
2.0300000000000002,-0.000294,1.0,1.000296,-0.086532,-14.2818,165.0469
2.04,-0.00028,1.0,1.000281,-0.082234,-13.5724,165.0451
2.05,-0.000266,1.0,1.000267,-0.077952,-12.8655,165.0432
2.06,-0.000251,1.0,1.000253,-0.073685,-12.1611,165.0412
2.07,-0.000237,1.0,1.000239,-0.069433,-11.4591,165.0391
2.08,-0.000223,1.0,1.000224,-0.065196,-10.7597,165.0371
2.09,-0.000209,1.0,1.00021,-0.060973,-10.0627,165.035
2.1,-0.000195,1.0,1.000196,-0.056766,-9.3682,165.0328
2.11,-0.000181,1.0,1.000182,-0.052573,-8.6761,165.0306
2.12,-0.000167,1.0,1.000168,-0.048395,-7.9865,165.0284
2.13,-0.000153,1.0,1.000154,-0.044231,-7.2993,165.0262
2.14,-0.000139,1.0,1.00014,-0.040082,-6.6145,165.024
2.15,-0.000125,1.0,1.000126,-0.035948,-5.9322,165.0217
2.16,-0.000111,1.0,1.000113,-0.031828,-5.2523,165.0195
2.17,-9.7e-05,1.0,1.000099,-0.027723,-4.5747,165.0172
2.18,-8.4e-05,1.0,1.000085,-0.023632,-3.8996,165.0149
2.19,-7e-05,1.0,1.000071,-0.019555,-3.2269,165.0126
2.2,-5.6e-05,1.0,1.000058,-0.015493,-2.5565,165.0103
2.21,-4.3e-05,1.0,1.000044,-0.011445,-1.8885,165.008
2.22,-2.9e-05,1.0,1.000031,-0.007411,-1.2229,165.0056
2.23,-1.6e-05,1.0,1.000017,-0.003391,-0.5596,165.0033
2.24,-3e-06,1.0,1.000004,0.000614,0.1013,165.001
2.25,1.1e-05,1.0,0.999991,0.004606,0.7599,164.9987
2.2600000000000002,2.4e-05,1.0,0.999977,0.008583,1.4162,164.9963
2.27,3.7e-05,1.0,0.999964,0.012547,2.0702,164.994
2.2800000000000002,5.1e-05,1.0,0.999951,0.016497,2.7218,164.9917
2.29,6.4e-05,1.0,0.999938,0.020432,3.3711,164.9894
2.3000000000000003,7.7e-05,1.0,0.999924,0.024354,4.0182,164.9871
2.31,9e-05,1.0,0.999911,0.028263,4.6629,164.9847
2.32,0.000103,1.0,0.999898,0.032157,5.3054,164.9824
2.33,0.000116,1.0,0.999885,0.036038,5.9456,164.9801
2.34,0.000129,1.0,0.999872,0.039905,6.5835,164.9778
2.35,0.000142,1.0,0.999859,0.043759,7.2192,164.9755
2.36,0.000155,1.0,0.999847,0.047599,7.8526,164.9732
2.37,0.000167,1.0,0.999834,0.051426,8.4838,164.971
2.38,0.00018,1.0,0.999821,0.055239,9.1128,164.9687
2.39,0.000193,1.0,0.999808,0.059039,9.7395,164.9664
2.4,0.000206,1.0,0.999796,0.062826,10.364,164.9641
2.41,0.000218,1.0,0.999783,0.066599,10.9863,164.9619
2.42,0.000231,1.0,0.99977,0.070359,11.6064,164.9596
2.43,0.000243,1.0,0.999758,0.074106,12.2244,164.9574
2.44,0.000256,1.0,0.999745,0.07784,12.8401,164.9551
2.45,0.000268,1.0,0.999733,0.081561,13.4537,164.9529
2.46,0.000281,1.0,0.999721,0.085268,14.065,164.9507
2.47,0.000293,1.0,0.999708,0.088963,14.6743,164.9484
2.48,0.000305,1.0,0.999696,0.092644,15.2813,164.9462
2.49,0.000318,1.0,0.999684,0.096313,15.8863,164.944
2.5,0.00033,1.0,0.999671,0.099969,16.4891,164.9418
2.5100000000000002,0.000342,1.0,0.999659,0.103612,17.0897,164.9396
2.52,0.000354,1.0,0.999647,0.107242,17.6883,164.9374
2.5300000000000002,0.000366,1.0,0.999635,0.11086,18.2847,164.9352
2.54,0.000378,1.0,0.999623,0.114465,18.879,164.9331
2.5500000000000003,0.00039,1.0,0.999611,0.118057,19.4712,164.9309
2.56,0.000402,1.0,0.999599,0.121636,20.0613,164.9287
2.57,0.000414,1.0,0.999587,0.125203,20.6494,164.9266
2.58,0.000426,1.0,0.999575,0.128758,21.2353,164.9244
2.59,0.000438,1.0,0.999563,0.1323,21.8192,164.9223
2.6,0.00045,1.0,0.999551,0.13583,22.401,164.9201
2.61,0.000462,1.0,0.99954,0.139347,22.9808,164.918
2.62,0.000473,1.0,0.999528,0.142852,23.5585,164.9159
2.63,0.000485,1.0,0.999516,0.146344,24.1342,164.9138
2.64,0.000497,1.0,0.999504,0.149825,24.7078,164.9117
2.65,0.000508,1.0,0.999493,0.153293,25.2794,164.9096
2.66,0.00052,1.0,0.999481,0.156749,25.849,164.9075
2.67,0.000531,1.0,0.99947,0.160193,26.4166,164.9054
2.68,0.000543,1.0,0.999458,0.163624,26.9822,164.9034
2.69,0.000554,1.0,0.999447,0.167044,27.5458,164.9013
2.7,0.000566,1.0,0.999435,0.170452,28.1074,164.8992
2.71,0.000577,1.0,0.999424,0.173848,28.667,164.8972
2.72,0.000588,1.0,0.999413,0.177231,29.2246,164.8951
2.73,0.0006,1.0,0.999402,0.180603,29.7803,164.8931
2.74,0.000611,1.0,0.99939,0.183964,30.334,164.8911
2.75,0.000622,1.0,0.999379,0.187312,30.8857,164.8891
2.7600000000000002,0.000633,1.0,0.999368,0.190649,31.4355,164.887
2.77,0.000644,1.0,0.999357,0.193974,31.9833,164.885
2.7800000000000002,0.000655,1.0,0.999346,0.197287,32.5293,164.883
2.79,0.000666,1.0,0.999335,0.200589,33.0732,164.881
2.8000000000000003,0.000677,1.0,0.999324,0.203879,33.6153,164.8791
2.81,0.000688,1.0,0.999313,0.207157,34.1555,164.8771
2.82,0.000699,1.0,0.999302,0.210424,34.6937,164.8751
2.83,0.00071,1.0,0.999291,0.21368,35.23,164.8731
2.84,0.000721,1.0,0.99928,0.216924,35.7645,164.8712
2.85,0.000732,1.0,0.999269,0.220157,36.2971,164.8692
2.86,0.000743,1.0,0.999259,0.223378,36.8277,164.8673
2.87,0.000753,1.0,0.999248,0.226588,37.3565,164.8654
2.88,0.000764,1.0,0.999237,0.229787,37.8835,164.8634
2.89,0.000775,1.0,0.999226,0.232975,38.4086,164.8615
2.9,0.000785,1.0,0.999216,0.236151,38.9318,164.8596
2.91,0.000796,1.0,0.999205,0.239316,39.4532,164.8577
2.92,0.000806,1.0,0.999195,0.242471,39.9727,164.8558
2.93,0.000817,1.0,0.999184,0.245614,40.4904,164.8539
2.94,0.000827,1.0,0.999174,0.248746,41.0063,164.852
2.95,0.000838,1.0,0.999163,0.251867,41.5203,164.8501
2.96,0.000848,1.0,0.999153,0.254977,42.0326,164.8482
2.97,0.000859,1.0,0.999143,0.258077,42.543,164.8464
2.98,0.000869,1.0,0.999132,0.261165,43.0516,164.8445
2.99,0.000879,1.0,0.999122,0.264243,43.5584,164.8426
3.0,0.000889,-1.0,-1.000888,0.266509,44.0098,165.1342
3.0100000000000002,0.000881,-1.0,-1.000883,0.261581,43.1963,165.1357
3.02,0.000865,-1.0,-1.000866,0.25667,42.3851,165.1351
3.0300000000000002,0.000848,-1.0,-1.00085,0.251775,41.5768,165.1342
3.04,0.000832,-1.0,-1.000833,0.246899,40.7712,165.1332
3.0500000000000003,0.000816,-1.0,-1.000817,0.242039,39.9684,165.1321
3.06,0.000799,-1.0,-1.000801,0.237196,39.1684,165.1307
3.0700000000000003,0.000783,-1.0,-1.000785,0.23237,38.3711,165.1293
3.08,0.000767,-1.0,-1.000769,0.227561,37.5767,165.1277
3.09,0.000751,-1.0,-1.000753,0.22277,36.785,165.126
3.1,0.000735,-1.0,-1.000737,0.217994,35.9961,165.1241
3.11,0.000719,-1.0,-1.000721,0.213236,35.21,165.1222
3.12,0.000703,-1.0,-1.000705,0.208494,34.4266,165.1202
3.13,0.000687,-1.0,-1.000689,0.203769,33.646,165.1182
3.14,0.000671,-1.0,-1.000673,0.199061,32.8681,165.116
3.15,0.000656,-1.0,-1.000657,0.194369,32.093,165.1138
3.16,0.00064,-1.0,-1.000642,0.189693,31.3206,165.1116
3.17,0.000624,-1.0,-1.000626,0.185034,30.5509,165.1093
3.18,0.000609,-1.0,-1.00061,0.180391,29.7839,165.107
3.19,0.000593,-1.0,-1.000595,0.175765,29.0196,165.1046
3.2,0.000578,-1.0,-1.00058,0.171155,28.258,165.1022
3.21,0.000563,-1.0,-1.000564,0.166561,27.4991,165.0998
3.22,0.000547,-1.0,-1.000549,0.161983,26.7429,165.0974
3.23,0.000532,-1.0,-1.000533,0.157421,25.9893,165.0949
3.24,0.000517,-1.0,-1.000518,0.152875,25.2385,165.0924
3.25,0.000502,-1.0,-1.000503,0.148345,24.4902,165.0899
3.2600000000000002,0.000486,-1.0,-1.000488,0.143831,23.7446,165.0874
3.27,0.000471,-1.0,-1.000473,0.139332,23.0017,165.0848
3.2800000000000002,0.000456,-1.0,-1.000458,0.13485,22.2614,165.0823
3.29,0.000441,-1.0,-1.000443,0.130383,21.5236,165.0798
3.3000000000000003,0.000426,-1.0,-1.000428,0.125932,20.7885,165.0772
3.31,0.000412,-1.0,-1.000413,0.121497,20.056,165.0747
3.3200000000000003,0.000397,-1.0,-1.000398,0.117077,19.3261,165.0721
3.33,0.000382,-1.0,-1.000383,0.112672,18.5988,165.0696
3.34,0.000367,-1.0,-1.000369,0.108284,17.874,165.067
3.35,0.000353,-1.0,-1.000354,0.10391,17.1518,165.0644
3.36,0.000338,-1.0,-1.000339,0.099552,16.4322,165.0619
3.37,0.000323,-1.0,-1.000325,0.095209,15.7151,165.0593
3.38,0.000309,-1.0,-1.00031,0.090881,15.0006,165.0568
3.39,0.000295,-1.0,-1.000296,0.086569,14.2885,165.0542
3.4,0.00028,-1.0,-1.000282,0.082271,13.579,165.0517
3.41,0.000266,-1.0,-1.000267,0.077989,12.872,165.0491
3.42,0.000251,-1.0,-1.000253,0.073722,12.1675,165.0466
3.43,0.000237,-1.0,-1.000239,0.069469,11.4655,165.0441
3.44,0.000223,-1.0,-1.000224,0.065232,10.766,165.0415
3.45,0.000209,-1.0,-1.00021,0.06101,10.069,165.039
3.46,0.000195,-1.0,-1.000196,0.056802,9.3744,165.0365
3.47,0.000181,-1.0,-1.000182,0.052609,8.6823,165.034
3.48,0.000167,-1.0,-1.000168,0.048431,7.9926,165.0315
3.49,0.000153,-1.0,-1.000154,0.044267,7.3053,165.029
3.5,0.000139,-1.0,-1.00014,0.040118,6.6205,165.0265
3.5100000000000002,0.000125,-1.0,-1.000126,0.035984,5.9382,165.024
3.52,0.000111,-1.0,-1.000113,0.031864,5.2582,165.0215
3.5300000000000002,9.8e-05,-1.0,-1.000099,0.027758,4.5806,165.019
3.54,8.4e-05,-1.0,-1.000085,0.023667,3.9055,165.0165
3.5500000000000003,7e-05,-1.0,-1.000072,0.01959,3.2327,165.0141
3.56,5.7e-05,-1.0,-1.000058,0.015528,2.5623,165.0116
3.5700000000000003,4.3e-05,-1.0,-1.000044,0.01148,1.8943,165.0092
3.58,3e-05,-1.0,-1.000031,0.007446,1.2286,165.0067
3.59,1.6e-05,-1.0,-1.000017,0.003426,0.5653,165.0043
3.6,3e-06,-1.0,-1.000004,-0.00058,-0.0956,165.0019
3.61,-1.1e-05,-1.0,-0.999991,-0.004571,-0.7543,164.9995
3.62,-2.4e-05,-1.0,-0.999977,-0.008549,-1.4106,164.9971
3.63,-3.7e-05,-1.0,-0.999964,-0.012513,-2.0645,164.9947
3.64,-5e-05,-1.0,-0.999951,-0.016462,-2.7162,164.9923
3.65,-6.4e-05,-1.0,-0.999938,-0.020398,-3.3655,164.9899
3.66,-7.7e-05,-1.0,-0.999925,-0.024321,-4.0126,164.9875
3.67,-9e-05,-1.0,-0.999911,-0.028229,-4.6574,164.9852
3.68,-0.000103,-1.0,-0.999898,-0.032124,-5.2998,164.9828
3.69,-0.000116,-1.0,-0.999885,-0.036005,-5.9401,164.9805
3.7,-0.000129,-1.0,-0.999872,-0.039872,-6.578,164.9781
3.71,-0.000142,-1.0,-0.99986,-0.043726,-7.2137,164.9758
3.72,-0.000155,-1.0,-0.999847,-0.047566,-7.8472,164.9735
3.73,-0.000167,-1.0,-0.999834,-0.051393,-8.4784,164.9712
3.74,-0.00018,-1.0,-0.999821,-0.055206,-9.1074,164.9689
3.75,-0.000193,-1.0,-0.999808,-0.059007,-9.7341,164.9666
3.7600000000000002,-0.000206,-1.0,-0.999796,-0.062793,-10.3586,164.9643
3.77,-0.000218,-1.0,-0.999783,-0.066567,-10.981,164.962
3.7800000000000002,-0.000231,-1.0,-0.999771,-0.070327,-11.6011,164.9597
3.79,-0.000243,-1.0,-0.999758,-0.074074,-12.219,164.9575
3.8000000000000003,-0.000256,-1.0,-0.999745,-0.077808,-12.8348,164.9552
