t,position,setpoint,error,psi,torque,Ec
0.0,0.0,1.0,1.0,0.0004,0.0601,150.1492
0.01,9e-06,1.0,0.999992,0.004392,0.6661,151.648
0.02,2.2e-05,1.0,0.99998,0.008371,1.2819,153.1461
0.03,3.4e-05,1.0,0.999967,0.012335,1.9075,154.644
0.04,4.7e-05,1.0,0.999954,0.016285,2.5428,156.1419
0.05,6e-05,1.0,0.999941,0.020222,3.1878,157.6397
0.06,7.3e-05,1.0,0.999928,0.024145,3.8423,159.1374
0.07,8.7e-05,1.0,0.999915,0.028054,4.5064,160.635
0.08,0.0001,1.0,0.999901,0.031949,5.18,162.1326
0.09,0.000114,1.0,0.999887,0.035831,5.863,163.63
0.1,0.000128,1.0,0.999873,0.039699,6.5494,164.9774
0.11,0.000141,1.0,0.99986,0.043553,7.1852,164.975
0.12,0.000154,1.0,0.999847,0.047394,7.8187,164.9727
0.13,0.000167,1.0,0.999834,0.051222,8.45,164.9703
0.14,0.00018,1.0,0.999822,0.055036,9.0791,164.968
0.15,0.000192,1.0,0.999809,0.058836,9.706,164.9657
0.16,0.000205,1.0,0.999796,0.062624,10.3306,164.9635
0.17,0.000218,1.0,0.999784,0.066398,10.953,164.9612
0.18,0.00023,1.0,0.999771,0.070158,11.5732,164.9589
0.19,0.000243,1.0,0.999759,0.073906,12.1913,164.9566
0.2,0.000255,1.0,0.999746,0.07764,12.8071,164.9544
0.21,0.000268,1.0,0.999734,0.081362,13.4208,164.9521
0.22,0.00028,1.0,0.999721,0.08507,14.0323,164.9499
0.23,0.000292,1.0,0.999709,0.088765,14.6416,164.9477
0.24,0.000305,1.0,0.999696,0.092448,15.2488,164.9454
0.25,0.000317,1.0,0.999684,0.096117,15.8539,164.9432
0.26,0.000329,1.0,0.999672,0.099774,16.4568,164.941
0.27,0.000341,1.0,0.99966,0.103417,17.0575,164.9388
0.28,0.000354,1.0,0.999648,0.107048,17.6562,164.9366
0.29,0.000366,1.0,0.999636,0.110666,18.2527,164.9345
0.3,0.000378,1.0,0.999623,0.114272,18.8471,164.9323
0.31,0.00039,1.0,0.999611,0.117865,19.4394,164.9301
0.32,0.000402,1.0,0.999599,0.121445,20.0297,164.928
0.33,0.000414,1.0,0.999588,0.125013,20.6178,164.9258
0.34,0.000426,1.0,0.999576,0.128568,21.2039,164.9237
0.35000000000000003,0.000437,1.0,0.999564,0.132111,21.7879,164.9215
0.36,0.000449,1.0,0.999552,0.135641,22.3698,164.9194
0.37,0.000461,1.0,0.99954,0.139159,22.9497,164.9173
0.38,0.000473,1.0,0.999528,0.142664,23.5275,164.9152
0.39,0.000484,1.0,0.999517,0.146158,24.1033,164.9131
0.4,0.000496,1.0,0.999505,0.149639,24.677,164.911
0.41000000000000003,0.000508,1.0,0.999494,0.153107,25.2488,164.9089
0.42,0.000519,1.0,0.999482,0.156564,25.8185,164.9068
