t,position,setpoint,error,psi,torque,Ec
0.0,0.0,1.0,1.0,0.0005,0.0751,150.1492
0.01,1.1e-05,1.0,0.99999,0.005495,0.8334,151.6477
0.02,2.7e-05,1.0,0.999974,0.010482,1.6053,153.1453
0.03,4.3e-05,1.0,0.999959,0.01546,2.3909,154.6427
0.04,5.9e-05,1.0,0.999943,0.02043,3.19,156.1401
0.05,7.5e-05,1.0,0.999926,0.025392,4.0027,157.6373
0.06,9.2e-05,1.0,0.99991,0.030345,4.8289,159.1344
0.07,0.000109,1.0,0.999893,0.035289,5.6685,160.6314
0.08,0.000126,1.0,0.999876,0.040225,6.5216,162.1283
0.09,0.000144,1.0,0.999858,0.045153,7.3881,163.625
0.1,0.000161,1.0,0.99984,0.050072,8.2604,164.9717
0.11,0.000178,1.0,0.999823,0.054983,9.0704,164.9686
0.12,0.000195,1.0,0.999807,0.059885,9.879,164.9657
0.13,0.000211,1.0,0.999791,0.064779,10.6861,164.9627
0.14,0.000227,1.0,0.999774,0.069665,11.4919,164.9598
0.15,0.000244,1.0,0.999758,0.074542,12.2962,164.9568
0.16,0.00026,1.0,0.999742,0.079411,13.0992,164.9539
0.17,0.000276,1.0,0.999726,0.084272,13.9007,164.951
0.18,0.000292,1.0,0.999709,0.089124,14.7009,164.948
0.19,0.000308,1.0,0.999693,0.093968,15.4996,164.9451
0.2,0.000325,1.0,0.999677,0.098804,16.297,164.9422
0.21,0.000341,1.0,0.999661,0.103632,17.093,164.9393
0.22,0.000357,1.0,0.999645,0.108451,17.8876,164.9364
0.23,0.000373,1.0,0.999629,0.113262,18.6808,164.9335
0.24,0.000389,1.0,0.999613,0.118065,19.4726,164.9306
0.25,0.000405,1.0,0.999597,0.12286,20.263,164.9277
0.26,0.000421,1.0,0.999581,0.127647,21.0521,164.9248
0.27,0.000437,1.0,0.999565,0.132425,21.8398,164.922
0.28,0.000453,1.0,0.999549,0.137195,22.6262,164.9191
0.29,0.000469,1.0,0.999533,0.141958,23.4111,164.9162
0.3,0.000485,1.0,0.999517,0.146712,24.1947,164.9134
0.31,0.000501,1.0,0.999501,0.151458,24.9769,164.9105
0.32,0.000516,1.0,0.999485,0.156195,25.7578,164.9077
0.33,0.000532,1.0,0.999469,0.160925,26.5373,164.9048
0.34,0.000548,1.0,0.999454,0.165647,27.3155,164.902
0.35000000000000003,0.000564,1.0,0.999438,0.17036,28.0923,164.8991
0.36,0.00058,1.0,0.999422,0.175066,28.8677,164.8963
0.37,0.000595,1.0,0.999406,0.179764,29.6418,164.8935
0.38,0.000611,1.0,0.999391,0.184453,30.4146,164.8906
0.39,0.000627,1.0,0.999375,0.189135,31.186,164.8878
0.4,0.000642,1.0,0.999359,0.193808,31.9561,164.885
0.41000000000000003,0.000658,1.0,0.999344,0.198474,32.7248,164.8822
0.42,0.000673,1.0,0.999328,0.203131,33.4922,164.8794
0.43,0.000689,1.0,0.999313,0.207781,34.2582,164.8766
0.44,0.000704,1.0,0.999297,0.212423,35.0229,164.8738
0.45,0.00072,1.0,0.999282,0.217057,35.7863,164.871
0.46,0.000735,1.0,0.999266,0.221682,36.5484,164.8682
