t,position,setpoint,error,psi,torque,Ec
0.0,0.0,1.0,1.0,0.0003,0.045,150.1492
0.01,7e-06,1.0,0.999994,0.003294,0.4996,151.6483
0.02,1.6e-05,1.0,0.999985,0.006278,0.9614,153.1469
0.03,2.6e-05,1.0,0.999975,0.009251,1.4307,154.6453
0.04,3.5e-05,1.0,0.999966,0.012214,1.9072,156.1437
0.05,4.5e-05,1.0,0.999956,0.015167,2.3909,157.6421
0.06,5.5e-05,1.0,0.999946,0.018109,2.8818,159.1404
0.07,6.5e-05,1.0,0.999936,0.021041,3.3799,160.6386
0.08,7.5e-05,1.0,0.999926,0.023962,3.8851,162.1367
0.09,8.6e-05,1.0,0.999916,0.026873,4.3974,163.6348
0.1,9.6e-05,1.0,0.999905,0.029774,4.9123,164.9828
0.11,0.000106,1.0,0.999895,0.032665,5.3892,164.981
0.12,0.000116,1.0,0.999885,0.035546,5.8644,164.9793
0.13,0.000125,1.0,0.999876,0.038417,6.3379,164.9775
0.14,0.000135,1.0,0.999866,0.041278,6.8098,164.9758
0.15,0.000144,1.0,0.999857,0.044128,7.28,164.9741
0.16,0.000154,1.0,0.999847,0.046969,7.7486,164.9724
0.17,0.000163,1.0,0.999838,0.049799,8.2155,164.9707
0.18,0.000173,1.0,0.999828,0.05262,8.6807,164.969
0.19,0.000182,1.0,0.999819,0.055431,9.1443,164.9673
0.2,0.000191,1.0,0.99981,0.058232,9.6063,164.9656
0.21,0.000201,1.0,0.9998,0.061023,10.0666,164.9639
0.22,0.00021,1.0,0.999791,0.063805,10.5254,164.9622
0.23,0.000219,1.0,0.999782,0.066576,10.9825,164.9605
0.24,0.000229,1.0,0.999772,0.069338,11.438,164.9589
0.25,0.000238,1.0,0.999763,0.072091,11.8919,164.9572
0.26,0.000247,1.0,0.999754,0.074833,12.3442,164.9556
0.27,0.000256,1.0,0.999745,0.077566,12.7949,164.9539
0.28,0.000265,1.0,0.999736,0.08029,13.244,164.9523
0.29,0.000274,1.0,0.999727,0.083004,13.6915,164.9506
0.3,0.000283,1.0,0.999718,0.085708,14.1375,164.949
0.31,0.000292,1.0,0.999709,0.088403,14.5818,164.9474
0.32,0.000301,1.0,0.9997,0.091088,15.0246,164.9457
0.33,0.00031,1.0,0.999691,0.093764,15.4659,164.9441
0.34,0.000319,1.0,0.999682,0.096431,15.9056,164.9425
0.35000000000000003,0.000328,1.0,0.999673,0.099088,16.3437,164.9409
0.36,0.000337,1.0,0.999664,0.101737,16.7804,164.9393
0.37,0.000346,1.0,0.999655,0.104375,17.2154,164.9377
0.38,0.000355,1.0,0.999646,0.107005,17.649,164.9361
0.39,0.000363,1.0,0.999638,0.109625,18.081,164.9346
0.4,0.000372,1.0,0.999629,0.112236,18.5114,164.933
0.41000000000000003,0.000381,1.0,0.99962,0.114838,18.9404,164.9314
0.42,0.000389,1.0,0.999611,0.117431,19.3679,164.9299
0.43,0.000398,1.0,0.999603,0.120015,19.7938,164.9283
0.44,0.000407,1.0,0.999594,0.122589,20.2183,164.9267
0.45,0.000415,1.0,0.999586,0.125155,20.6412,164.9252
0.46,0.000424,1.0,0.999577,0.127712,21.0627,164.9237
0.47000000000000003,0.000432,1.0,0.999568,0.130259,21.4827,164.9221
0.48,0.000441,1.0,0.99956,0.132798,21.9011,164.9206
0.49,0.000449,1.0,0.999552,0.135328,22.3182,164.9191
0.5,0.000458,1.0,0.999543,0.137849,22.7337,164.9175
0.51,0.000466,1.0,0.999535,0.140361,23.1478,164.916
0.52,0.000475,1.0,0.999526,0.142865,23.5604,164.9145
0.53,0.000483,1.0,0.999518,0.145359,23.9716,164.913
0.54,0.000491,1.0,0.99951,0.147845,24.3814,164.9115
0.55,0.000499,1.0,0.999501,0.150322,24.7896,164.91
0.56,0.000508,1.0,0.999493,0.152791,25.1965,164.9085
0.5700000000000001,0.000516,1.0,0.999485,0.155251,25.6019,164.907
0.58,0.000524,1.0,0.999477,0.157702,26.0059,164.9056
0.59,0.000532,1.0,0.999468,0.160144,26.4085,164.9041
0.6,0.00054,1.0,0.99946,0.162578,26.8096,164.9026
0.61,0.000549,1.0,0.999452,0.165004,27.2093,164.9012
0.62,0.000557,1.0,0.999444,0.167421,27.6077,164.8997
0.63,0.000565,1.0,0.999436,0.169829,28.0046,164.8983
0.64,0.000573,1.0,0.999428,0.17223,28.4001,164.8968
0.65,0.000581,1.0,0.99942,0.174621,28.7942,164.8954
0.66,0.000589,1.0,0.999412,0.177005,29.187,164.8939
0.67,0.000597,1.0,0.999404,0.17938,29.5783,164.8925
0.68,0.000605,1.0,0.999396,0.181746,29.9683,164.8911
0.6900000000000001,0.000612,1.0,0.999388,0.184105,30.3569,164.8897
