t,position,setpoint,error,psi,torque,Ec
0.0,0.0,1.0,1.0,0.0005,0.0751,150.1492
0.01,1.1e-05,1.0,0.99999,0.00549,0.8326,151.6477
0.02,2.7e-05,1.0,0.999975,0.010463,1.6024,153.1453
0.03,4.3e-05,1.0,0.999959,0.015419,2.3844,154.6427
0.04,5.9e-05,1.0,0.999943,0.020357,3.1785,156.1401
0.05,7.5e-05,1.0,0.999927,0.025277,3.9846,157.6374
0.06,9.2e-05,1.0,0.99991,0.030181,4.8028,159.1345
0.07,0.000108,1.0,0.999893,0.035067,5.6328,160.6315
0.08,0.000125,1.0,0.999876,0.039936,6.4747,162.1284
0.09,0.000142,1.0,0.999859,0.044788,7.3284,163.6252
0.1,0.00016,1.0,0.999842,0.049623,8.1863,164.9719
0.11,0.000176,1.0,0.999825,0.054441,8.981,164.9689
0.12,0.000192,1.0,0.999809,0.059242,9.7728,164.966
0.13,0.000209,1.0,0.999793,0.064026,10.5619,164.9631
0.14,0.000224,1.0,0.999777,0.068793,11.3481,164.9603
0.15,0.00024,1.0,0.999761,0.073544,12.1315,164.9574
0.16,0.000256,1.0,0.999745,0.078277,12.9122,164.9545
0.17,0.000272,1.0,0.99973,0.082995,13.6901,164.9517
0.18,0.000288,1.0,0.999714,0.087695,14.4653,164.9488
0.19,0.000303,1.0,0.999698,0.09238,15.2377,164.946
0.2,0.000319,1.0,0.999683,0.097047,16.0073,164.9432
0.21,0.000335,1.0,0.999667,0.101699,16.7742,164.9404
0.22,0.00035,1.0,0.999651,0.106334,17.5384,164.9376
0.23,0.000366,1.0,0.999636,0.110953,18.2999,164.9348
0.24,0.000381,1.0,0.999621,0.115555,19.0587,164.932
0.25,0.000396,1.0,0.999605,0.120142,19.8149,164.9293
0.26,0.000412,1.0,0.99959,0.124712,20.5683,164.9265
0.27,0.000427,1.0,0.999575,0.129266,21.319,164.9238
0.28,0.000442,1.0,0.99956,0.133804,22.0671,164.921
0.29,0.000457,1.0,0.999544,0.138327,22.8126,164.9183
0.3,0.000472,1.0,0.999529,0.142833,23.5554,164.9156
0.31,0.000487,1.0,0.999514,0.147324,24.2956,164.9129
0.32,0.000502,1.0,0.999499,0.151798,25.0331,164.9102
0.33,0.000517,1.0,0.999484,0.156258,25.7681,164.9075
0.34,0.000532,1.0,0.99947,0.160701,26.5004,164.9048
0.35000000000000003,0.000547,1.0,0.999455,0.165129,27.2301,164.9021
0.36,0.000561,1.0,0.99944,0.169541,27.9573,164.8995
0.37,0.000576,1.0,0.999425,0.173938,28.6818,164.8968
0.38,0.000591,1.0,0.999411,0.17832,29.4039,164.8942
0.39,0.000605,1.0,0.999396,0.182686,30.1233,164.8915
0.4,0.00062,1.0,0.999382,0.187036,30.8402,164.8889
0.41000000000000003,0.000634,1.0,0.999367,0.191372,31.5546,164.8863
0.42,0.000649,1.0,0.999353,0.195692,32.2664,164.8837
0.43,0.000663,1.0,0.999338,0.199997,32.9757,164.8811
0.44,0.000678,1.0,0.999324,0.204287,33.6825,164.8785
0.45,0.000692,1.0,0.99931,0.208562,34.3868,164.876
0.46,0.000706,1.0,0.999295,0.212821,35.0886,164.8734
0.47000000000000003,0.00072,1.0,0.999281,0.217066,35.7879,164.8708
0.48,0.000734,1.0,0.999267,0.221296,36.4847,164.8683
0.49,0.000749,1.0,0.999253,0.225511,37.1791,164.8657
0.5,0.000763,1.0,0.999239,0.229712,37.871,164.8632
0.51,0.000777,1.0,0.999225,0.233897,38.5605,164.8607
0.52,0.000791,1.0,0.999211,0.238068,39.2475,164.8582
0.53,0.000804,1.0,0.999197,0.242224,39.9321,164.8557
0.54,0.000818,1.0,0.999183,0.246366,40.6142,164.8532
0.55,0.000832,1.0,0.999169,0.250493,41.294,164.8507
0.56,0.000846,1.0,0.999156,0.254606,41.9713,164.8482
0.5700000000000001,0.000859,1.0,0.999142,0.258704,42.6462,164.8457
0.58,0.000873,1.0,0.999128,0.262788,43.3188,164.8433
0.59,0.000887,1.0,0.999115,0.266857,43.9889,164.8408
0.6,0.0009,1.0,0.999101,0.270912,44.6567,164.8384
0.61,0.000914,1.0,0.999088,0.274953,45.3222,164.8359
0.62,0.000927,1.0,0.999074,0.27898,45.9852,164.8335
0.63,0.000941,1.0,0.999061,0.282992,46.646,164.8311
0.64,0.000954,1.0,0.999047,0.286991,47.3043,164.8287
0.65,0.000967,1.0,0.999034,0.290975,47.9604,164.8263
0.66,0.000981,1.0,0.999021,0.294946,48.6141,164.8239
0.67,0.000994,1.0,0.999008,0.298902,49.2655,164.8215
0.68,0.001007,1.0,0.998994,0.302845,49.9146,164.8191
0.6900000000000001,0.001013,1.0,0.998987,0.306774,50.0,164.8177
0.7000000000000001,0.001013,1.0,0.998987,0.310689,50.0,164.8175
0.71,0.001013,1.0,0.998987,0.31459,50.0,164.8174
0.72,0.001013,1.0,0.998987,0.318478,50.0,164.8172
0.73,0.001013,1.0,0.998987,0.322352,50.0,164.8171
0.74,0.001013,1.0,0.998987,0.326213,50.0,164.817
0.75,0.001013,1.0,0.998987,0.33006,50.0,164.8169
0.76,0.001013,1.0,0.998987,0.333894,50.0,164.8169
0.77,0.001013,1.0,0.998987,0.337714,50.0,164.8168
0.78,0.001013,1.0,0.998987,0.341521,50.0,164.8168
0.79,0.001013,1.0,0.998987,0.345314,50.0,164.8168
0.8,0.001013,1.0,0.998987,0.349095,50.0,164.8168
0.81,0.001013,1.0,0.998987,0.352862,50.0,164.8168
0.8200000000000001,0.001013,1.0,0.998987,0.356616,50.0,164.8168
0.8300000000000001,0.001013,1.0,0.998987,0.360357,50.0,164.8168
0.84,0.001013,1.0,0.998987,0.364085,50.0,164.8168
0.85,0.001013,1.0,0.998987,0.367799,50.0,164.8168
0.86,0.001013,1.0,0.998987,0.371501,50.0,164.8168
0.87,0.001013,1.0,0.998987,0.37519,50.0,164.8168
0.88,0.001013,1.0,0.998987,0.378866,50.0,164.8168
0.89,0.001013,1.0,0.998987,0.382529,50.0,164.8168
0.9,0.001013,1.0,0.998987,0.386179,50.0,164.8168
0.91,0.001013,1.0,0.998987,0.389817,50.0,164.8168
0.92,0.001013,1.0,0.998987,0.393442,50.0,164.8168
0.93,0.001013,1.0,0.998987,0.397054,50.0,164.8168
0.9400000000000001,0.001013,1.0,0.998987,0.400654,50.0,164.8168
0.9500000000000001,0.001013,1.0,0.998987,0.404241,50.0,164.8168
0.96,0.001013,1.0,0.998987,0.407815,50.0,164.8168
0.97,0.001013,1.0,0.998987,0.411377,50.0,164.8168
0.98,0.001013,1.0,0.998987,0.414927,50.0,164.8168
0.99,0.001013,1.0,0.998987,0.418464,50.0,164.8168
1.0,0.001013,-1.0,-1.001013,0.420988,50.0,165.1514
1.01,0.001013,-1.0,-1.001013,0.41452,50.0,165.1545
