t,position,setpoint,error,psi,torque,Ec
0.0,0.0,1.0,1.0,0.0005,0.0751,150.1495
0.01,1.1e-05,1.0,0.99999,0.005495,0.8329,151.5708
0.02,2.7e-05,1.0,0.999975,0.010482,1.6023,152.8558
0.03,4.3e-05,1.0,0.999959,0.01546,2.3812,154.0182
0.04,5.9e-05,1.0,0.999943,0.02043,3.1681,155.0697
0.05,7.5e-05,1.0,0.999927,0.025392,3.9616,156.0208
0.06,9.1e-05,1.0,0.999911,0.030345,4.7605,156.8811
0.07,0.000107,1.0,0.999895,0.035289,5.5636,157.6592
0.08,0.000123,1.0,0.999878,0.040225,6.3702,158.363
0.09,0.00014,1.0,0.999862,0.045153,7.1792,158.9995
0.1,0.000156,1.0,0.999845,0.050072,7.9902,159.5751
0.11,0.000173,1.0,0.999829,0.054983,8.8025,160.0956
0.12,0.000189,1.0,0.999812,0.059885,9.6155,160.5664
0.13,0.000206,1.0,0.999796,0.064779,10.4289,160.992
0.14,0.000222,1.0,0.99978,0.069665,11.2423,161.3768
0.15,0.000239,1.0,0.999763,0.074542,12.0553,161.7248
0.16,0.000255,1.0,0.999747,0.079411,12.8677,162.0393
0.17,0.000272,1.0,0.99973,0.084272,13.6793,162.3236
0.18,0.000288,1.0,0.999714,0.089124,14.4899,162.5806
0.19,0.000304,1.0,0.999697,0.093969,15.2993,162.8129
0.2,0.000321,1.0,0.999681,0.098804,16.1074,163.0227
0.21,0.000337,1.0,0.999665,0.103632,16.914,163.2123
0.22,0.000353,1.0,0.999648,0.108452,17.7192,163.3836
0.23,0.00037,1.0,0.999632,0.113263,18.5228,163.5383
0.24,0.000386,1.0,0.999616,0.118066,19.3248,163.678
0.25,0.000402,1.0,0.999599,0.122861,20.1251,163.8042
0.26,0.000418,1.0,0.999583,0.127647,20.9237,163.918
0.27,0.000435,1.0,0.999567,0.132426,21.7206,164.0208
0.28,0.000451,1.0,0.999551,0.137196,22.5157,164.1135
0.29,0.000467,1.0,0.999535,0.141958,23.3091,164.1971
0.3,0.000483,1.0,0.999519,0.146712,24.1008,164.2725
0.31,0.000499,1.0,0.999503,0.151458,24.8907,164.3404
0.32,0.000515,1.0,0.999487,0.156196,25.6788,164.4016
0.33,0.000531,1.0,0.999471,0.160926,26.4653,164.4567
0.34,0.000547,1.0,0.999455,0.165647,27.25,164.5063
0.35000000000000003,0.000563,1.0,0.999439,0.170361,28.033,164.5509
